$ZQDM,$SC,$ZQDM1,$SC1,JZRQ,DWJZ,ZXFE,FEBH,ZFEBH,YFEBH,YZGM,YYGM,ZXSSDW
560170,1,932038,62,20260318,1.1104,546995500.00,-101500000.00,-277000000.00,-487500000.00,953362793.50,1200014780.00,50.00
560180,1,931463,62,20260318,1.1848,13103000.00,0.00,0.00,0.00,15618776.00,15644982.00,250.00
560190,1,000995,62,20260318,1.0931,22334000.00,0.00,6500000.00,6000000.00,17797416.00,16628012.00,50.00
560220,1,932000,62,20260318,1.5414,42717000.00,0.00,0.00,0.00,68005464.00,67364709.00,300.00
560230,1,931151,62,20260318,1.0142,89889000.00,0.00,2000000.00,-72000000.00,93777563.00,162536556.00,200.00
560260,1,399989,0,20260318,0.8493,1827664700.00,0.00,13000000.00,44000000.00,1562426306.70,1578543259.50,100.00
560270,1,H30199,62,20260318,1.0361,166939000.00,-500000.00,-2000000.00,-54000000.00,180088974.00,226904353.00,50.00
560280,1,931752,62,20260318,1.6922,2229752000.00,12000000.00,-22500000.00,809000000.00,4096846388.00,2693745792.00,50.00
560290,1,931892,62,20260318,0.8948,290694000.00,4000000.00,17000000.00,-199000000.00,268493814.00,479410426.00,100.00
560300,1,931235,62,20260318,2.1130,28803400.00,0.00,0.00,0.00,61610472.60,59594234.60,100.00
560310,1,931151,62,20260318,1.0040,221122000.00,5000000.00,12000000.00,92000000.00,220414588.00,131058830.00,100.00
560330,1,000919,62,20260318,1.2617,19130000.00,0.00,-1000000.00,-2000000.00,25504710.00,26518150.00,100.00
560350,1,930050,62,20260318,1.2707,1351532100.00,-68000000.00,-92000000.00,-134000000.00,1843390491.70,1895538959.60,200.00
560360,1,930601,62,20260318,1.5150,185345000.00,0.00,-4000000.00,-15000000.00,295946235.00,318147860.00,100.00
560370,1,932315,62,20260318,0.9886,109584000.00,1500000.00,-10500000.00,-84000000.00,120444252.00,193003248.00,150.00
560380,1,000903,1,20260318,1.2494,150861000.00,0.00,0.00,0.00,190537443.00,190990026.00,200.00
560390,1,HZ5446,27,20260318,0.9805,1533258000.00,45000000.00,594000000.00,1049000000.00,998431254.00,489100580.00,100.00
560500,1,930939,62,20260318,1.2760,324339000.00,2000000.00,7000000.00,-35000000.00,423012887.00,479717565.00,100.00
560510,1,000510,1,20260318,1.2016,2786026900.00,-12000000.00,3000000.00,-48000000.00,3406424925.60,3466014898.70,300.00
560520,1,930955,62,20260318,1.1558,9751000.00,0.00,6000000.00,4000000.00,4339907.00,6538887.00,100.00
560530,1,000510,1,20260318,1.2392,2866623700.00,-15000000.00,3000000.00,-219000000.00,3616756733.10,3894057109.40,300.00
560550,1,931755,62,20260318,1.0874,169597400.00,-2000000.00,-2000000.00,-16000000.00,194076659.40,204342737.40,200.00
